,User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,marrage_status
13,1001883,Praneet,P00029842,M,26-35,54,1,Uttar Pradesh,Central,Hospitality,Auto,1,23568.0,Married
14,1001883,Praneet,P00029842,M,26-35,54,1,Uttar Pradesh,Zentral,Hospitality,Auto,1,23568.0,Married
15,1000113,Ellis,P00180642,F,26-35,19,1,Andhra Pradesh,Southern,Govt,Auto,4,23546.0,Married
16,1000416,Hrisheekesh,P00181842,F,26-35,46,1,Uttar Pradesh,Central,Banking,Auto,2,23525.0,Married
17,1005256,Grant,P00101742,F,26-35,30,0,Andhra Pradesh,Southern,IT Sector,Auto,1,23518.0,Unmarried
18,1001505,Gilcrest,P00271842,F,51-55,53,0,Uttar Pradesh,Central,Automobile,Auto,2,23515.0,Unmarried
19,1000900,Skaria,P00317842,M,55+,83,0,Karnataka,Southern,Automobile,Auto,3,23513.0,Unmarried
20,1005908,Eric,P00282642,F,26-35,33,0,Andhra Pradesh,Southern,IT Sector,Auto,3,23462.0,Unmarried
21,1001101,Gibson,P00234742,F,36-45,40,0,Uttar Pradesh,Central,Banking,Auto,3,23456.0,Unmarried
22,1004736,Mahima,P00058042,F,18-25,25,1,Andhra Pradesh,Southern,Banking,Auto,4,23451.0,Married
23,1004037,Etezadi,P00190542,M,51-55,54,1,Andhra Pradesh,Southern,Govt,Hand & Power Tools,2,23434.0,Married
24,1002340,James,P00119642,F,36-45,39,1,Andhra Pradesh,Southern,Aviation,Auto,3,23389.0,Married
25,1005664,Dean,P00111642,F,18-25,20,0,Andhra Pradesh,Southern,Aviation,Auto,2,23365.0,Unmarried
26,1002523,Aman,P00293342,F,26-35,32,1,Andhra Pradesh,Southern,Food Processing,Auto,3,23326.0,Married
27,1002503,Mousam,P00220042,F,36-45,36,0,Andhra Pradesh,Southern,Automobile,Auto,2,23314.0,Unmarried
28,1002638,Damala,P00346242,F,26-35,35,1,Maharashtra,Western,Media,Auto,2,23306.0,Married
29,1004505,Daniels,P00080042,F,51-55,55,1,Andhra Pradesh,Southern,Healthcare,Auto,4,23302.0,Married
30,1004957,Inderpreet,P00111842,M,26-35,27,1,Jharkhand,Eastern,Govt,Auto,1,23285.0,Married
31,1005649,Sweta,P00238542,M,18-25,20,1,Delhi,Central,Media,Auto,1,23281.0,Married
32,1004508,Phonely,P00048742,F,26-35,32,0,Andhra Pradesh,Southern,Aviation,Auto,1,23270.0,Unmarried
33,1002520,Mike,P00310342,M,55+,72,0,Himachal Pradesh,Northern,Media,Auto,4,23267.0,Unmarried
34,1003111,Dean,P00249542,F,18-25,25,0,Andhra Pradesh,Southern,Banking,Auto,4,23252.0,Unmarried
35,1000687,Neola,P00156442,M,26-35,35,0,Kerala,Southern,Aviation,Auto,1,23247.0,Unmarried
36,1003267,Trupti,P00144242,M,26-35,30,0,Uttar Pradesh,Central,Banking,Hand & Power Tools,2,23246.0,Unmarried
37,1001182,Zypern,P00122442,M,0-17,16,0,Andhra Pradesh,Southern,Food Processing,Auto,4,23239.0,Unmarried
38,1005383,Ellison,P0096942,F,36-45,40,0,Andhra Pradesh,Southern,Aviation,Auto,2,23201.0,Unmarried
39,1004303,Jane,P00201442,F,26-35,35,1,Andhra Pradesh,Southern,Aviation,Auto,2,23185.0,Married
40,1005493,Stewart,P00036242,M,36-45,45,1,Andhra Pradesh,Southern,Agriculture,Hand & Power Tools,3,23160.0,Married
41,1000728,Breyer,P00113942,F,26-35,28,0,Andhra Pradesh,Southern,Banking,Auto,1,23154.0,Unmarried
42,1002966,Jesslyn,P00121642,M,26-35,32,1,Delhi,Central,Construction,Auto,3,23103.0,Married
43,1001726,Abhijit,P00105042,F,26-35,32,0,Andhra Pradesh,Southern,Retail,Auto,4,23066.0,Unmarried
44,1001404,Vineet,P00141842,F,51-55,53,0,Andhra Pradesh,Southern,IT Sector,Auto,2,23053.0,Unmarried
45,1001389,Smriti,P00261542,F,26-35,33,1,Delhi,Central,Agriculture,Stationery,3,21463.0,Married
46,1001687,Bruce,P00265242,F,26-35,33,0,Maharashtra,Western,Govt,Stationery,4,21325.0,Unmarried
47,1000423,Saurabh,P00046742,M,18-25,21,0,Delhi,Central,Automobile,Stationery,2,21320.0,Unmarried
48,1002395,Vaibhavi,P00220342,F,36-45,38,1,Delhi,Central,Aviation,Stationery,2,21317.0,Married
49,1004728,Larry,P00037042,F,26-35,28,0,Delhi,Central,IT Sector,Stationery,4,21293.0,Unmarried
50,1005054,Parhena,P0096542,F,36-45,37,0,Delhi,Central,Hospitality,Stationery,1,21266.0,Unmarried
51,1004489,Pete,P00216742,M,18-25,20,0,Delhi,Central,Construction,Stationery,1,21259.0,Unmarried
52,1001865,Cyra,P00213742,M,18-25,23,1,Kerala,Southern,Media,Stationery,2,21246.0,Married
53,1003022,Rozendal,P00130742,F,26-35,34,0,Delhi,Central,Banking,Stationery,4,21218.0,Unmarried
54,1001657,Jack,P00248442,M,46-50,49,0,Andhra Pradesh,Southern,Govt,Stationery,2,21178.0,Unmarried
55,1003751,Victor,P00129542,M,36-45,38,1,Karnataka,Southern,Media,Stationery,1,21178.0,Married
56,1000179,Debra,P00261642,F,26-35,30,0,Delhi,Central,Aviation,Stationery,4,21152.0,Unmarried
57,1000438,Bhosale,P00182542,F,18-25,25,0,Madhya Pradesh,Central,IT Sector,Tupperware,2,21079.0,Unmarried
58,1003618,Keshav,P00248942,M,18-25,19,1,Maharashtra,Western,Media,Tupperware,1,21058.0,Married
59,1003415,Arsheen,P00152742,M,36-45,42,0,Delhi,Central,Hospitality,Stationery,1,21039.0,Unmarried
60,1002485,Kaydos,P00302342,F,36-45,38,1,Gujarat,Western,IT Sector,Tupperware,3,21013.0,Married
61,1001495,Fjeld,P00064042,F,18-25,21,1,Delhi,Central,IT Sector,Stationery,4,21009.0,Married
62,1004607,Turumella,P00173342,M,26-35,35,0,Delhi,Central,IT Sector,Stationery,4,20981.0,Unmarried
63,1005316,Vernon,P00278642,F,18-25,24,1,Kerala,Southern,IT Sector,Tupperware,4,20967.0,Married
64,1000461,Connell,P00142942,M,51-55,52,1,Himachal Pradesh,Northern,IT Sector,Stationery,2,20965.0,Married
65,1000154,Shami,P00306042,F,51-55,53,1,Karnataka,Southern,Textile,Footwear & Shoes,4,20965.0,Married
66,1000749,Flanagan,P00114342,F,36-45,37,1,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,2,20963.0,Married
67,1006040,Pond,P00271242,F,26-35,28,1,Delhi,Central,IT Sector,Footwear & Shoes,1,20960.0,Married
68,1001284,O'Brian,P00157142,M,46-50,50,0,Karnataka,Southern,Banking,Footwear & Shoes,3,20960.0,Unmarried
69,1004269,Namrata,P00345242,F,36-45,40,0,Delhi,Central,Lawyer,Footwear & Shoes,1,20959.0,Unmarried
70,1005954,Charlotte,P00156242,F,46-50,48,1,Karnataka,Southern,Automobile,Footwear & Shoes,2,20944.0,Married
71,1005627,Anubhaw,P00123142,M,26-35,28,0,Delhi,Central,IT Sector,Stationery,1,20943.0,Unmarried
72,1002165,Black,P00260442,F,26-35,31,1,Delhi,Central,IT Sector,Footwear & Shoes,1,20938.0,Married
73,1004416,Airdo,P00213742,F,18-25,23,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,2,20933.0,Unmarried
74,1000850,Bhawna,P00319942,F,36-45,44,0,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,3,20932.0,Unmarried
75,1002888,Corey-Lock,P00255842,F,26-35,34,0,Andhra Pradesh,Southern,Automobile,Tupperware,2,20930.0,Unmarried
76,1001891,Akin,P00192542,F,46-50,46,0,Uttar Pradesh,Central,Chemical,Footwear & Shoes,1,20929.0,Unmarried
77,1001019,Neil,P00259142,F,36-45,43,1,Delhi,Central,Govt,Footwear & Shoes,2,20928.0,Married
78,1002306,Lisha,P00084242,M,18-25,21,1,Jharkhand,Eastern,Textile,Footwear & Shoes,3,20925.0,Married
79,1001179,Amlan,P00208742,M,51-55,54,0,Delhi,Central,IT Sector,Footwear & Shoes,3,20920.0,Unmarried
80,1004957,Inderpreet,P00163442,F,26-35,34,1,Delhi,Central,Healthcare,Footwear & Shoes,1,20914.0,Married
81,1004079,Fisher,P00284742,F,36-45,44,1,Uttar Pradesh,Central,Agriculture,Footwear & Shoes,2,20914.0,Married
82,1002124,Linda,P00369042,F,26-35,29,0,Karnataka,Southern,Retail,Footwear & Shoes,3,20912.0,Unmarried
83,1004335,Aryan,P00075542,F,36-45,38,0,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20912.0,Unmarried
84,1000280,Kajal,P00216042,F,51-55,55,0,Delhi,Central,Hospitality,Footwear & Shoes,2,20908.0,Unmarried
85,1003311,Neola,P00142742,F,26-35,26,1,Karnataka,Southern,Hospitality,Footwear & Shoes,1,20908.0,Married
86,1004161,Murray,P00345642,F,46-50,46,0,Karnataka,Southern,Retail,Footwear & Shoes,4,20906.0,Unmarried
87,1004285,Bhishm,P00315842,M,36-45,38,0,Uttar Pradesh,Central,Food Processing,Footwear & Shoes,3,20900.0,Unmarried
88,1000445,Sukruta,P00114042,F,46-50,47,0,Delhi,Central,Retail,Footwear & Shoes,1,20896.0,Unmarried
89,1003265,Arti,P00184942,F,26-35,35,0,Uttar Pradesh,Central,Food Processing,Stationery,1,20883.0,Unmarried
90,1003396,Akshay,P00178242,F,26-35,31,1,Delhi,Central,Textile,Footwear & Shoes,4,20875.0,Married
91,1002380,Swati,P00124642,F,26-35,26,1,Delhi,Central,IT Sector,Footwear & Shoes,2,20874.0,Married
92,1002059,Mathew,P00114142,F,36-45,41,0,Karnataka,Southern,IT Sector,Footwear & Shoes,1,20874.0,Unmarried
93,1001335,Kushal,P00108942,F,36-45,42,0,Delhi,Central,IT Sector,Footwear & Shoes,1,20873.0,Unmarried
94,1004838,Luxemburg,P00062842,F,46-50,49,0,Delhi,Central,Lawyer,Footwear & Shoes,3,20870.0,Unmarried
95,1001015,Bharat,P00289942,F,36-45,44,0,Delhi,Central,Chemical,Stationery,2,20867.0,Unmarried
96,1000549,Sharda,P00113542,F,26-35,31,0,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20865.0,Unmarried
97,1001954,Steele,P00294542,M,26-35,31,1,Jharkhand,Eastern,IT Sector,Footwear & Shoes,3,20863.0,Married
98,1001912,Hazel,P00087442,F,26-35,27,0,Bihar,Eastern,Automobile,Tupperware,3,20860.0,Unmarried
99,1003918,Shariari,P00334242,F,26-35,32,0,Karnataka,Southern,Retail,Footwear & Shoes,3,20855.0,Unmarried
100,1001896,Brittain,P00117142,M,55+,66,0,Uttar Pradesh,Central,Govt,Footwear & Shoes,2,20853.0,Unmarried
101,1002445,Shiva,P00184042,F,26-35,28,0,Delhi,Central,Aviation,Stationery,4,20852.0,Unmarried
102,1002279,Noah,P00368342,F,51-55,52,0,Karnataka,Southern,Aviation,Footwear & Shoes,4,20850.0,Unmarried
103,1002898,Kotsonis,P00309242,F,18-25,19,0,Madhya Pradesh,Central,Healthcare,Footwear & Shoes,4,20847.0,Unmarried
104,1004277,Sanjay,P00315442,F,36-45,45,1,Delhi,Central,Construction,Footwear & Shoes,2,20840.0,Married
105,1003576,Alejandro,P00101342,M,51-55,53,1,Maharashtra,Western,Aviation,Footwear & Shoes,4,20837.0,Married
106,1003724,Devendra,P00232442,F,36-45,36,0,Delhi,Central,Aviation,Footwear & Shoes,2,20833.0,Unmarried
107,1003384,Sujay,P00033742,F,36-45,41,1,Delhi,Central,Banking,Footwear & Shoes,4,20819.0,Married
108,1003051,Moren,P00288342,F,18-25,22,0,Uttar Pradesh,Central,Govt,Tupperware,1,20816.0,Unmarried
109,1003311,Neola,P00228142,F,26-35,30,1,Karnataka,Southern,Hospitality,Footwear & Shoes,3,20815.0,Married
110,1004782,Philippe,P00114942,M,46-50,46,1,Karnataka,Southern,Hospitality,Footwear & Shoes,1,20815.0,Married
111,1003998,Patterson,P00232242,F,46-50,47,0,Delhi,Central,IT Sector,Footwear & Shoes,4,20812.0,Unmarried
112,1000284,George,P00034742,F,26-35,29,0,Karnataka,Southern,Healthcare,Footwear & Shoes,2,20807.0,Unmarried
113,1000509,Rohan,P00278042,F,26-35,28,0,Delhi,Central,Banking,Footwear & Shoes,2,20805.45,Unmarried
114,1000838,Divyeshkumar,P00363542,M,51-55,53,1,Gujarat,Western,Hospitality,Footwear & Shoes,4,20796.0,Married
